#Frame      Mode1    Mode2
     891  -12.373   -0.689
     892  -12.273   -0.669
     893  -12.675   -0.932
     894  -12.705   -1.028
     895  -13.589   -0.690
     896  -12.393   -0.695
     897  -12.399   -0.305
     898  -13.284   -1.102
     899  -12.530   -0.492
     900  -13.888   -0.961
     901  -13.994    1.526
     902  -13.076    0.727
     903  -13.788    1.403
     904  -13.448    1.736
     905  -14.205    0.494
     906  -13.575    1.489
     907  -13.512    0.532
     908  -13.954    1.647
     909  -13.785    1.538
     910  -12.594    0.681
     911  -13.765    1.035
     912  -13.532    0.426
     913  -13.292    0.508
     914  -13.125    0.533
     915  -13.378    1.756
     916  -12.752    1.152
     917  -13.544   -0.560
     918  -13.574   -0.309
     919  -12.958    0.171
     920  -12.851    0.263
     921  -12.657   -0.452
     922  -12.879   -0.237
     923  -12.494    0.507
     924  -12.493   -0.288
     925  -13.972   -0.097
     926  -13.268   -0.372
     927  -13.947   -1.123
     928  -13.235    0.015
     929  -13.123   -0.673
     930  -13.411   -0.067
     931  -13.658   -0.528
     932  -13.552    0.510
     933  -13.609    0.754
     934  -12.660    0.249
     935  -13.917    1.065
     936  -12.447    0.016
     937  -12.869   -0.060
     938  -12.891    0.147
     939  -12.379   -0.222
     940  -14.223   -1.103
     941  -12.351   -0.051
     942  -13.468    0.748
     943  -13.865    0.809
     944  -12.939   -0.227
     945  -13.450   -0.483
     946  -13.938   -0.215
     947  -12.864   -0.446
     948  -13.016   -0.476
     949  -13.046    0.228
     950  -12.272   -0.310
     951  -13.356   -0.760
     952  -12.835    0.520
     953  -11.663    0.323
     954  -12.491    0.082
     955  -12.186    0.353
     956  -11.844    0.815
     957  -10.987    1.670
     958  -11.747    1.184
     959  -13.171   -0.490
     960  -12.896   -0.997
     961  -13.315   -0.588
     962  -13.744   -0.746
     963  -12.823    0.294
     964  -12.367    0.304
     965  -12.535   -0.434
     966  -12.821    0.062
     967  -12.553    0.125
     968  -12.682   -0.113
     969  -13.302   -0.786
     970  -12.935   -0.463
     971  -12.962   -1.243
     972  -12.658   -0.550
     973  -12.059   -0.761
     974  -12.844   -1.565
     975  -12.689   -0.828
     976  -12.949   -1.386
     977  -12.886   -1.512
     978  -12.778   -1.275
     979  -12.907   -1.339
     980  -12.701   -1.512
     981  -12.275   -1.903
     982  -12.446   -1.365
     983  -13.085   -1.135
     984  -12.398   -0.403
     985  -12.306   -0.483
     986  -12.476   -0.894
     987  -12.256   -0.961
     988  -12.208   -1.575
     989  -12.199   -1.192
     990  -13.036   -2.193
     991  -12.096   -1.479
     992  -12.824   -0.428
     993  -12.341   -0.245
     994  -12.919   -0.489
     995  -11.991   -0.957
     996  -12.176   -0.196
     997  -12.495   -0.952
     998  -12.750   -1.297
     999  -12.439   -0.787
    1000  -12.749   -1.469
    1001  -12.749   -1.469
    1002  -12.916   -0.461
    1003  -12.786   -1.016
    1004  -13.048   -0.727
    1005  -12.493   -0.431
    1006  -12.563   -0.609
    1007  -12.034   -0.764
    1008  -12.411   -1.267
    1009  -12.322   -0.126
    1010  -11.855   -0.072
    1011  -11.108   -1.261
    1012  -11.232   -0.373
    1013  -13.015    0.863
    1014  -12.432    0.216
    1015  -12.387    0.307
    1016  -12.571    1.159
    1017   -9.871    3.565
    1018   -9.376    2.869
    1019   -8.702    3.837
    1020   -9.167    3.652
    1021   -9.843    6.717
    1022  -11.282    6.483
    1023  -10.111    6.613
    1024  -10.436    6.512
    1025  -10.947    5.367
    1026  -10.518    5.410
    1027  -10.606    5.305
    1028  -10.626    5.841
    1029  -10.449    5.603
    1030   -9.730    6.139
    1031   -9.497    6.318
    1032   -9.473    6.146
    1033   -9.017    6.279
    1034  -10.058    5.355
    1035  -10.182    4.452
    1036  -10.255    6.242
    1037  -11.192    5.356
    1038  -10.755    5.124
    1039   -9.746    6.538
    1040   -9.388    6.685
    1041   -9.488    6.960
    1042   -9.921    6.125
    1043  -10.734    4.755
    1044  -10.423    6.607
    1045  -10.483    5.342
    1046  -10.654    4.345
    1047  -10.488    4.758
    1048  -12.975    3.758
    1049  -12.235    4.258
    1050   -8.399    7.509
    1051   -8.526    6.159
    1052   -9.756    6.112
    1053  -10.112    6.614
    1054  -11.545    5.404
    1055   -9.418    6.184
    1056  -10.125    5.644
    1057   -9.561    5.871
    1058  -10.119    5.824
    1059  -12.951    3.888
    1060  -11.286    5.549
    1061  -11.500    5.042
    1062  -11.354    6.509
    1063  -10.510    6.045
    1064  -10.823    4.678
    1065  -10.518    5.950
    1066  -10.001    5.913
    1067  -11.339    4.723
    1068   -9.698    6.305
    1069  -10.881    6.669
    1070   -9.266    6.345
    1071   -9.627    7.107
    1072  -11.036    5.550
    1073  -10.642    6.420
    1074  -10.684    5.656
    1075  -11.256    5.841
    1076  -11.229    4.688
    1077  -11.482    5.248
    1078  -13.681    4.250
    1079  -11.827    5.237
    1080  -11.550    5.181
    1081  -11.368    4.923
    1082   -9.921    4.912
    1083   -9.447    4.361
    1084   -9.866    5.391
    1085  -11.266    5.152
    1086  -11.331    5.369
    1087  -11.108    5.272
    1088  -11.721    5.194
    1089  -13.036    3.917
    1090  -11.509    4.610
    1091   -9.874    6.717
    1092  -10.127    5.621
    1093  -11.393    4.317
