#Frame      Mode1    Mode2
     474   -9.263   -5.059
     475   -8.744   -5.068
     476   -9.062   -4.787
     477   -8.596   -3.734
     478   -9.177   -4.203
     479   -9.471   -2.432
     480   -8.925   -3.496
     481   -9.212   -3.697
     482   -9.223   -3.739
     483   -8.761   -3.083
     484   -7.972   -3.482
     485   -8.897   -2.735
     486   -8.853   -2.823
     487   -8.943   -3.054
     488   -8.903   -3.538
     489   -9.637   -4.499
     490   -8.240   -3.387
     491   -7.913   -4.552
     492   -7.561   -5.243
     493   -8.476   -5.261
     494   -8.134   -4.931
     495   -8.286   -4.938
     496   -8.012   -4.752
     497   -7.794   -4.253
     498   -8.564   -4.004
     499   -8.399   -5.208
     500   -8.397   -4.662
     501   -8.714   -4.836
     502   -8.118   -5.300
     503   -8.294   -4.702
     504   -8.575   -5.168
     505   -9.202   -5.116
     506  -10.346   -4.734
     507   -9.830   -4.827
     508   -9.118   -4.676
     509   -9.351   -4.998
     510   -8.280   -5.829
     511   -8.497   -6.525
     512   -8.705   -7.238
     513   -9.576   -6.325
     514   -8.914   -6.129
     515   -9.216   -6.092
     516   -9.054   -3.577
     517   -9.387   -4.850
     518   -9.592   -4.650
     519   -8.881   -4.192
     520   -8.457   -3.880
     521   -8.932   -3.610
     522   -9.417   -4.080
     523  -10.272   -4.070
     524   -7.769   -4.144
     525   -8.114   -3.196
     526   -8.128   -3.507
     527   -8.024   -3.985
     528   -9.487   -3.888
     529   -8.334   -2.954
     530   -9.078   -3.015
     531   -7.919   -2.390
     532   -8.267   -2.043
     533   -9.328   -2.823
     534   -8.480   -3.508
     535   -8.742   -2.969
     536   -9.525   -3.504
     537   -9.277   -2.961
     538   -9.044   -3.470
     539   -8.971   -2.082
     540   -9.007   -3.240
     541   -8.802   -2.924
     542   -8.673   -3.674
     543   -8.964   -3.379
     544   -8.544   -2.454
     545   -8.609   -3.139
     546   -8.074   -2.741
     547   -9.265   -3.035
     548   -8.964   -2.876
     549   -8.945   -3.762
     550   -8.694   -3.406
     551   -8.676   -2.339
     552   -9.218   -3.767
     553   -8.940   -3.383
     554   -8.988   -4.121
     555   -8.670   -2.519
     556   -9.793   -3.012
     557   -9.526   -2.903
     558   -9.114   -2.841
     559   -9.578   -3.471
     560   -9.101   -3.178
     561   -9.598   -3.222
     562   -9.260   -3.580
     563   -8.564   -4.677
     564   -8.782   -4.130
     565   -8.236   -3.466
     566   -9.139   -4.652
     567   -9.830   -4.070
     568  -10.235   -4.049
     569   -9.419   -3.530
     570   -8.812   -2.379
