#Frame	ca
2007	4
2008	6
2009	6
2010	6
2011	6
2012	7
2013	7
2014	7
2015	7
2016	6
2017	6
2018	6
2019	6
2020	7
2021	4
2022	7
2023	6
2024	7
2025	8
2026	6
2027	7
2028	6
2029	5
2030	7
2031	6
2032	8
2033	8
2034	7
2035	6
2036	7
2037	9
2038	7
2039	7
2040	7
2041	5
2042	5
2043	8
2044	6
2045	6
2046	6
2047	6
2048	6
2049	6
2050	6
2051	6
2052	7
2053	7
2054	7
2055	5
2056	6
2057	7
2058	7
2059	5
2060	6
2061	7
2062	5
2063	6
2064	5
2065	4
2066	5
2067	6
2068	7
2069	5
2070	5
2071	7
2072	4
2073	6
2074	5
2075	5
2076	5
2077	6
2078	6
2079	7
2080	5
2081	5
2082	5
2083	6
2084	7
2085	6
2086	5
2087	6
2088	7
2089	5
2090	6
2091	5
2092	6
2093	6
2094	7
2095	6
2096	8
2097	7
2098	6
2099	4
2100	6
2101	5
2102	5
2103	5
2104	6
2105	6
2106	7
2107	6
2108	5
2109	5
2110	7
2111	7
2112	5
2113	4
2114	5
2115	4
2116	6
2117	4
2118	4
2119	6
2120	6
2121	5
2122	7
2123	6
2124	5
2125	4
2126	6
2127	6
2128	6
2129	7
2130	6
2131	6
2132	6
2133	6
2134	6
2135	5
2136	6
2137	4
2138	6
2139	7
2140	6
2141	5
2142	7
2143	7
2144	3
2145	5
2146	7
2147	6
2148	6
2149	7
2150	5
2151	6
2152	5
2153	6
2154	6
2155	6
2156	7
2157	8
2158	7
2159	7
2160	7
2161	6
2162	5
2163	5
2164	6
2165	6
2166	6
2167	7
2168	7
2169	7
2170	7
2171	6
2172	6
2173	5
2174	6
2175	5
2176	5
2177	6
2178	7
2179	5
2180	6
2181	7
2182	7
2183	6
2184	6
2185	6
2186	5
2187	6
2188	6
2189	6
2190	5
2191	6
2192	5
2193	7
2194	6
2195	5
2196	7
2197	7
2198	5
2199	8
2200	6
2201	5
2202	6
2203	6
2204	6
2205	5
2206	7
2207	6
2208	6
2209	6
2210	4
2211	5
2212	6
2213	7
2214	6
2215	8
2216	6
2217	8
2218	6
2219	6
2220	8
2221	7
2222	6
2223	5
2224	6
2225	6
2226	6
2227	7
2228	7
2229	7
2230	8
2231	6
2232	6
2233	7
2234	6
2235	6
2236	6
2237	6
2238	5
2239	6
2240	6
2241	6
2242	8
2243	7
2244	6
2245	5
2246	7
2247	5
2248	7
2249	4
2250	5
2251	6
2252	7
2253	6
2254	6
2255	7
2256	7
2257	5
2258	7
2259	8
2260	7
2261	7
2262	8
2263	5
2264	6
2265	4
2266	6
2267	6
2268	7
2269	7
2270	5
2271	6
2272	6
2273	7
2274	6
2275	4
2276	6
2277	5
2278	5
2279	5
2280	5
2281	6
2282	6
2283	6
2284	5
2285	5
2286	5
2287	6
2288	6
2289	5
2290	5
2291	6
2292	6
2293	6
2294	6
2295	5
2296	6
2297	5
2298	6
2299	6
2300	5
2301	6
2302	7
2303	6
2304	6
2305	6
2306	5
2307	7
2308	6
2309	7
2310	6
2311	7
2312	9
2313	6
2314	6
2315	6
2316	5
2317	6
2318	7
2319	6
2320	7
2321	5
2322	7
2323	6
2324	6
2325	6
2326	7
2327	6
2328	7
2329	6
2330	6
2331	7
2332	5
2333	6
2334	7
2335	6
2336	6
2337	7
2338	6
2339	7
2340	7
2341	7
2342	4
2343	5
2344	5
2345	8
2346	6
2347	6
2348	6
2349	6
2350	7
2351	6
2352	6
2353	8
2354	7
2355	7
2356	6
2357	6
2358	7
2359	6
2360	5
2361	7
2362	7
2363	5
2364	7
2365	6
2366	4
2367	6
2368	7
2369	4
2370	4
2371	5
2372	5
2373	5
2374	7
2375	7
2376	5
2377	7
2378	6
2379	6
2380	6
2381	6
2382	7
2383	7
2384	8
2385	8
2386	6
2387	7
2388	7
2389	6
2390	7
2391	6
2392	7
2393	7
2394	6
2395	6
2396	7
2397	7
2398	7
2399	6
2400	6
2401	6
2402	6
2403	7
2404	7
2405	6
2406	7
2407	7
2408	5
2409	6
2410	6
2411	5
2412	6
2413	7
2414	6
2415	5
2416	6
2417	6
2418	5
2419	7
2420	6
2421	6
2422	6
2423	7
2424	8
2425	5
2426	7
2427	7
2428	7
2429	7
2430	6
2431	6
2432	5
2433	5
2434	6
2435	6
2436	7
2437	7
2438	6
2439	6
2440	5
2441	5
2442	6
2443	7
2444	5
2445	7
2446	8
2447	6
2448	6
2449	8
2450	6
2451	6
2452	5
2453	6
2454	5
2455	7
2456	6
2457	7
2458	6
2459	7
2460	5
2461	6
2462	7
2463	5
2464	6
2465	5
2466	8
2467	7
2468	6
2469	6
2470	6
2471	5
2472	6
2473	6
2474	6
2475	6
2476	7
2477	6
2478	7
2479	5
2480	5
2481	6
2482	6
2483	5
2484	6
2485	7
2486	7
2487	8
2488	5
2489	6
2490	5
2491	7
2492	6
2493	5
2494	6
2495	6
2496	8
2497	6
2498	7
2499	5
2500	6
2501	5
2502	5
2503	7
2504	6
2505	6
2506	6
2507	8
2508	5
2509	5
2510	6
2511	8
2512	7
2513	6
2514	6
2515	5
2516	8
2517	6
2518	6
2519	6
2520	6
2521	6
2522	6
2523	5
2524	7
2525	7
2526	7
2527	6
2528	6
2529	8
2530	7
2531	6
2532	6
2533	5
2534	6
2535	6
2536	5
2537	7
2538	6
2539	4
2540	5
2541	6
2542	6
2543	4
2544	6
2545	6
2546	4
2547	6
2548	6
2549	6
2550	9
2551	6
2552	6
2553	6
2554	6
2555	6
2556	5
2557	6
2558	6
2559	6
2560	7
2561	5
2562	8
2563	7
2564	8
2565	5
2566	6
2567	5
2568	5
2569	6
2570	5
2571	6
2572	6
2573	6
2574	7
2575	6
2576	3
2577	6
2578	5
2579	7
2580	7
2581	7
2582	6
2583	6
2584	7
2585	6
2586	6
2587	7
2588	5
2589	5
2590	7
2591	6
2592	7
2593	5
2594	6
2595	7
2596	6
2597	6
2598	7
2599	6
2600	6
2601	6
2602	6
2603	8
2604	7
2605	7
2606	7
2607	7
2608	7
2609	7
2610	8
2611	5
2612	7
2613	5
2614	6
2615	6
2616	6
2617	6
2618	6
2619	7
2620	5
2621	8
2622	6
2623	8
2624	6
2625	5
2626	6
2627	6
2628	7
2629	8
2630	7
2631	6
2632	7
2633	6
2634	4
2635	5
2636	5
2637	5
2638	4
2639	7
2640	7
2641	7
2642	5
2643	6
2644	5
2645	7
2646	6
2647	7
2648	7
2649	6
2650	5
2651	7
2652	6
2653	7
2654	5
2655	7
2656	6
2657	6
2658	5
2659	7
2660	5
2661	5
2662	6
2663	6
2664	6
2665	6
2666	5
2667	6
2668	8
2669	6
2670	8
2671	7
2672	6
2673	5
2674	5
2675	6
2676	7
2677	6
2678	6
2679	6
2680	7
2681	5
2682	5
2683	6
2684	7
2685	8
2686	6
2687	6
2688	6
2689	6
2690	6
2691	6
2692	6
2693	6
2694	7
2695	6
2696	6
2697	6
2698	7
2699	6
2700	5
2701	6
2702	7
2703	7
2704	6
2705	6
2706	7
2707	5
2708	5
2709	7
2710	8
2711	6
2712	5
2713	7
2714	6
2715	8
2716	5
2717	5
2718	7
2719	7
2720	7
2721	7
2722	8
2723	7
2724	5
2725	7
2726	7
2727	7
2728	7
2729	6
2730	6
2731	6
2732	6
2733	5
2734	6
2735	5
2736	7
2737	6
2738	7
2739	7
2740	6
2741	6
2742	5
2743	7
2744	6
2745	6
2746	5
2747	6
2748	7
2749	7
2750	5
2751	6
2752	5
2753	5
2754	6
2755	7
2756	6
2757	5
2758	4
2759	5
2760	7
2761	6
2762	7
2763	7
2764	7
2765	5
2766	5
2767	6
2768	6
2769	6
2770	8
2771	7
2772	7
2773	6
2774	7
2775	8
2776	6
2777	7
2778	5
2779	6
2780	6
2781	5
2782	6
2783	7
2784	7
2785	6
2786	7
2787	7
2788	6
2789	7
2790	6
2791	6
2792	7
2793	5
2794	6
2795	6
2796	7
2797	6
2798	7
2799	6
2800	6
2801	5
2802	5
2803	5
2804	7
2805	6
2806	6
2807	6
2808	7
2809	7
2810	5
2811	5
2812	3
2813	6
2814	5
2815	7
2816	6
2817	7
2818	6
2819	6
2820	7
2821	6
2822	7
2823	6
2824	6
2825	6
2826	5
2827	6
2828	6
2829	6
2830	8
2831	6
2832	5
2833	6
2834	6
2835	6
2836	7
2837	6
2838	8
2839	5
2840	5
2841	6
2842	6
2843	7
2844	6
2845	6
2846	7
2847	7
2848	6
2849	6
2850	7
2851	6
2852	5
2853	4
2854	6
2855	5
2856	5
2857	6
2858	8
2859	6
